Bank,Product,Province,SalesAmount,ClientAge,ClientIncome,SaleDate
TD,Investment Product,Alberta,77771,62,77621,2024-09-01
Scotiabank,Investment Product,Nova Scotia,55078,31,100774,2020-07-03
Scotiabank,Investment Product,Ontario,58958,30,93824,2022-05-07
TD,Credit Product,Yukon,14018,31,52777,2021-03-15
TD,Deposit Account,Alberta,1908,54,85665,2025-04-30
TD,Investment Product,Manitoba,96906,36,121239,2024-05-28
TD,Deposit Account,Newfoundland and Labrador,840,57,73236,2021-02-12
TD,Deposit Account,Northwest Territories,1273,38,92336,2021-04-25
RBC,Investment Product,Quebec,93526,30,90740,2023-07-29
TD,Deposit Account,Quebec,655,41,81746,2021-10-30
RBC,Investment Product,Northwest Territories,43194,35,71532,2021-11-22
TD,Investment Product,Newfoundland and Labrador,48655,49,52655,2021-05-25
RBC,Deposit Account,Quebec,2235,44,82855,2022-08-05
TD,Deposit Account,Yukon,2378,31,110017,2023-07-24
RBC,Credit Product,Saskatchewan,37600,43,89439,2021-05-09
TD,Investment Product,Newfoundland and Labrador,63593,26,111469,2021-10-27
TD,Credit Product,Alberta,13553,64,40978,2023-07-11
TD,Investment Product,Alberta,88472,26,38441,2021-11-15
RBC,Investment Product,Yukon,96748,64,121125,2023-11-03
Scotiabank,Credit Product,Quebec,40403,32,91017,2020-02-02
Scotiabank,Credit Product,Nunavut,13553,30,60401,2020-04-22
Scotiabank,Deposit Account,Alberta,864,46,119800,2024-05-21
Scotiabank,Credit Product,Nunavut,45448,52,51426,2025-04-21
Scotiabank,Credit Product,Nova Scotia,27040,57,128657,2022-09-06
RBC,Investment Product,Manitoba,94311,40,121418,2021-10-10
Scotiabank,Deposit Account,Northwest Territories,1208,34,97630,2022-10-17
RBC,Credit Product,Manitoba,32931,57,114460,2022-01-01
TD,Credit Product,Nunavut,14942,36,147312,2023-06-21
TD,Deposit Account,Manitoba,640,53,129271,2020-05-14
TD,Deposit Account,Nova Scotia,1008,28,142859,2021-06-25
Scotiabank,Deposit Account,British Columbia,834,52,94209,2022-03-14
TD,Deposit Account,Yukon,1038,25,139403,2022-06-14
TD,Credit Product,Nova Scotia,35004,53,91122,2023-05-02
TD,Deposit Account,New Brunswick,572,35,42516,2022-10-29
RBC,Investment Product,Newfoundland and Labrador,20495,63,77824,2020-05-23
RBC,Credit Product,Nova Scotia,10745,37,105253,2021-03-05
Scotiabank,Deposit Account,Saskatchewan,1180,54,57809,2020-11-07
Scotiabank,Investment Product,Prince Edward Island,98973,38,115869,2024-11-24
RBC,Deposit Account,Manitoba,1550,37,67979,2022-03-08
TD,Investment Product,Northwest Territories,63247,26,144825,2023-09-02
RBC,Investment Product,Nunavut,43657,38,39334,2024-11-20
Scotiabank,Investment Product,Manitoba,94690,38,148483,2020-12-01
RBC,Deposit Account,Saskatchewan,1617,43,119255,2022-07-03
TD,Deposit Account,Northwest Territories,1642,38,51713,2020-08-22
RBC,Deposit Account,Newfoundland and Labrador,2239,42,128001,2025-04-21
Scotiabank,Investment Product,Prince Edward Island,88788,54,142315,2020-03-14
TD,Investment Product,New Brunswick,81086,60,136417,2020-05-13
RBC,Investment Product,Manitoba,70499,30,61279,2025-03-10
RBC,Investment Product,Prince Edward Island,30122,56,102901,2021-06-26
TD,Deposit Account,Northwest Territories,2353,62,97560,2021-06-02
TD,Deposit Account,Nova Scotia,792,44,120745,2022-05-19
TD,Deposit Account,Prince Edward Island,2298,58,52613,2021-02-14
TD,Credit Product,British Columbia,12283,61,80118,2023-11-24
RBC,Deposit Account,Northwest Territories,750,53,122411,2020-01-26
RBC,Credit Product,New Brunswick,38930,56,80074,2025-05-21
TD,Investment Product,Yukon,44772,51,129752,2024-11-02
RBC,Deposit Account,Quebec,2422,36,105990,2023-06-07
Scotiabank,Credit Product,Yukon,23571,25,43365,2021-09-08
Scotiabank,Credit Product,New Brunswick,12731,44,134253,2021-12-28
RBC,Credit Product,Prince Edward Island,31535,65,48147,2025-05-30
Scotiabank,Deposit Account,Ontario,1970,46,144952,2023-08-07
RBC,Investment Product,Alberta,85968,46,74442,2021-12-03
RBC,Deposit Account,Ontario,2066,61,78595,2022-05-26
TD,Credit Product,Newfoundland and Labrador,31531,31,133637,2021-02-17
TD,Deposit Account,Newfoundland and Labrador,673,29,102433,2020-03-21
TD,Credit Product,Alberta,44275,52,88636,2020-08-25
RBC,Deposit Account,Prince Edward Island,1219,34,55468,2025-05-18
RBC,Credit Product,Prince Edward Island,42658,34,45393,2025-03-08
Scotiabank,Deposit Account,Newfoundland and Labrador,917,62,111710,2020-02-13
TD,Credit Product,Northwest Territories,49556,42,126474,2024-01-07
TD,Deposit Account,New Brunswick,1280,33,61543,2025-06-21
Scotiabank,Investment Product,Quebec,84187,43,97525,2020-08-10
Scotiabank,Credit Product,Yukon,18484,59,112750,2022-12-09
Scotiabank,Deposit Account,Yukon,1226,57,71741,2022-11-09
RBC,Deposit Account,Newfoundland and Labrador,1277,28,124085,2021-11-20
Scotiabank,Investment Product,New Brunswick,90370,25,106287,2021-06-30
RBC,Deposit Account,Northwest Territories,1852,45,33217,2021-07-02
TD,Deposit Account,Newfoundland and Labrador,2218,46,54649,2023-10-22
Scotiabank,Deposit Account,New Brunswick,1720,48,38200,2025-12-12
RBC,Investment Product,New Brunswick,33378,62,69202,2023-07-18
TD,Deposit Account,Saskatchewan,2208,32,129361,2023-06-03
Scotiabank,Investment Product,Northwest Territories,81716,30,43572,2021-05-29
Scotiabank,Credit Product,Manitoba,21726,34,32842,2024-05-24
Scotiabank,Credit Product,Nunavut,43694,33,70171,2020-08-09
Scotiabank,Credit Product,Nunavut,35592,37,53442,2025-03-02
TD,Deposit Account,Quebec,1178,52,99977,2022-04-09
Scotiabank,Credit Product,Prince Edward Island,33099,52,102498,2025-03-22
TD,Credit Product,Nunavut,33343,35,79436,2024-12-06
TD,Investment Product,Ontario,83029,60,48767,2025-06-01
Scotiabank,Deposit Account,New Brunswick,1113,33,76460,2021-06-29
RBC,Deposit Account,Saskatchewan,1993,60,75822,2021-02-12
Scotiabank,Investment Product,Nunavut,77380,63,33828,2024-01-06
RBC,Credit Product,British Columbia,15658,61,135871,2025-09-11
RBC,Deposit Account,Ontario,2267,33,80368,2024-09-30
RBC,Credit Product,Manitoba,40065,61,81196,2021-05-06
TD,Credit Product,Saskatchewan,20271,30,118388,2025-03-06
Scotiabank,Investment Product,Alberta,28446,53,92933,2024-02-26
TD,Investment Product,Yukon,46675,51,79055,2020-09-24
TD,Credit Product,Ontario,45162,55,67591,2023-07-05
RBC,Investment Product,Nunavut,37188,65,119050,2024-06-07
TD,Investment Product,New Brunswick,87071,26,90367,2020-02-05
RBC,Credit Product,Quebec,23586,30,134103,2025-03-15
RBC,Investment Product,Saskatchewan,57852,28,138745,2024-03-06
RBC,Credit Product,Ontario,11967,62,78091,2025-04-06
RBC,Investment Product,Newfoundland and Labrador,52252,64,135502,2025-04-22
TD,Investment Product,Newfoundland and Labrador,77861,34,71025,2021-10-11
RBC,Credit Product,Nova Scotia,23813,30,66975,2024-01-13
TD,Credit Product,Northwest Territories,48134,64,63801,2023-05-16
Scotiabank,Investment Product,Yukon,81456,41,36235,2022-05-13
Scotiabank,Credit Product,Alberta,34733,26,37205,2021-02-05
Scotiabank,Investment Product,Saskatchewan,39755,63,122706,2024-04-22
RBC,Investment Product,Alberta,69286,49,148953,2021-05-02
RBC,Credit Product,Alberta,39268,63,58441,2020-05-12
Scotiabank,Credit Product,Ontario,30970,51,71834,2022-12-01
Scotiabank,Credit Product,Manitoba,42745,64,102881,2025-12-09
Scotiabank,Deposit Account,Yukon,2332,45,65113,2023-03-15
Scotiabank,Credit Product,British Columbia,16928,57,87273,2022-11-29
TD,Credit Product,Saskatchewan,13743,58,43286,2025-11-21
RBC,Credit Product,Saskatchewan,15566,40,76922,2023-06-30
Scotiabank,Deposit Account,Nunavut,1072,53,103214,2025-04-21
RBC,Deposit Account,Yukon,1385,61,58090,2022-10-10
RBC,Investment Product,Yukon,78883,55,79957,2021-09-15
TD,Deposit Account,Ontario,1866,51,90862,2025-09-20
RBC,Investment Product,Nunavut,32575,45,136072,2025-08-20
TD,Investment Product,Nunavut,87654,55,39731,2024-02-09
Scotiabank,Investment Product,Quebec,87194,57,143642,2023-12-13
RBC,Deposit Account,Prince Edward Island,987,40,114458,2023-06-25
TD,Investment Product,Saskatchewan,24109,53,143887,2024-07-12
RBC,Deposit Account,Prince Edward Island,532,59,57966,2025-05-13
Scotiabank,Deposit Account,Quebec,1893,46,122666,2023-09-12
Scotiabank,Investment Product,Alberta,91514,34,31677,2023-09-12
TD,Credit Product,Alberta,43765,52,70413,2022-09-09
TD,Investment Product,Saskatchewan,47252,50,94665,2022-04-09
RBC,Deposit Account,British Columbia,1853,52,37296,2025-12-18
TD,Deposit Account,British Columbia,2111,47,72804,2025-12-14
TD,Deposit Account,Manitoba,740,42,50896,2025-04-21
TD,Investment Product,Ontario,60421,43,98925,2021-07-07
RBC,Credit Product,Yukon,11918,53,64603,2025-01-20
Scotiabank,Credit Product,Northwest Territories,44671,32,98834,2023-01-24
TD,Credit Product,Saskatchewan,40194,35,101815,2020-12-01
RBC,Investment Product,Manitoba,67245,27,77022,2020-07-04
TD,Deposit Account,Manitoba,1202,38,93617,2022-05-25
TD,Investment Product,Quebec,38357,56,112415,2022-04-09
RBC,Deposit Account,Saskatchewan,724,53,40015,2024-02-27
RBC,Credit Product,Manitoba,21665,58,65406,2023-05-29
Scotiabank,Credit Product,Yukon,31017,39,34792,2023-01-21
RBC,Deposit Account,Manitoba,1404,46,106020,2021-12-23
Scotiabank,Deposit Account,Newfoundland and Labrador,1406,54,61034,2024-10-23
RBC,Investment Product,Ontario,69212,32,45730,2020-12-07
Scotiabank,Deposit Account,Newfoundland and Labrador,1856,47,99252,2025-02-17
TD,Credit Product,Quebec,31905,47,146294,2023-10-23
TD,Deposit Account,Yukon,2039,64,137422,2021-03-01
TD,Deposit Account,Nunavut,954,45,112409,2020-12-06
Scotiabank,Deposit Account,Nunavut,1756,41,104608,2021-10-14
Scotiabank,Credit Product,Nunavut,39911,30,54405,2020-08-06
Scotiabank,Credit Product,Yukon,49728,31,44237,2020-02-06
TD,Deposit Account,Northwest Territories,1968,26,33090,2020-10-27
Scotiabank,Deposit Account,Manitoba,1537,25,84267,2021-04-03
Scotiabank,Investment Product,Yukon,70701,44,53059,2025-04-13
TD,Credit Product,British Columbia,20265,51,147965,2023-05-02
TD,Credit Product,Manitoba,41385,56,139712,2023-02-22
RBC,Deposit Account,Quebec,2020,42,77467,2025-08-25
TD,Credit Product,Ontario,34987,35,132787,2021-05-02
RBC,Deposit Account,New Brunswick,2469,27,147520,2021-01-08
Scotiabank,Deposit Account,Alberta,1961,57,92559,2025-06-07
TD,Credit Product,Northwest Territories,38474,55,112974,2024-06-16
RBC,Credit Product,Nova Scotia,49209,65,69107,2024-09-13
Scotiabank,Credit Product,Quebec,14151,53,41758,2023-12-14
TD,Credit Product,Newfoundland and Labrador,31255,41,116734,2021-12-25
TD,Investment Product,Manitoba,91946,54,106229,2023-02-06
RBC,Deposit Account,Northwest Territories,1795,54,63344,2021-02-12
TD,Investment Product,Nunavut,48039,44,105668,2024-11-19
Scotiabank,Deposit Account,Ontario,1088,28,50139,2022-10-21
TD,Investment Product,Northwest Territories,40306,26,93670,2023-10-20
Scotiabank,Credit Product,Northwest Territories,28847,56,100163,2021-04-25
Scotiabank,Deposit Account,Newfoundland and Labrador,2269,55,46526,2022-01-24
Scotiabank,Investment Product,Alberta,94315,48,80187,2023-09-13
RBC,Deposit Account,Alberta,2025,42,142109,2022-04-30
Scotiabank,Credit Product,Newfoundland and Labrador,11066,32,141070,2025-05-31
Scotiabank,Credit Product,Quebec,13182,61,95699,2020-05-09
RBC,Deposit Account,Nunavut,1408,62,53571,2024-02-26
TD,Credit Product,Quebec,39835,56,42195,2022-07-14
Scotiabank,Deposit Account,Newfoundland and Labrador,1942,51,91249,2024-06-16
Scotiabank,Investment Product,Manitoba,22350,54,71503,2022-03-08
TD,Investment Product,Northwest Territories,62824,32,54237,2024-10-03
TD,Deposit Account,Quebec,2310,58,121176,2021-12-18
TD,Investment Product,Prince Edward Island,87178,28,105586,2024-06-13
RBC,Deposit Account,British Columbia,688,33,90342,2021-12-24
RBC,Credit Product,Prince Edward Island,32791,61,109080,2022-08-28
Scotiabank,Credit Product,Nunavut,27847,53,66689,2020-09-20
TD,Investment Product,Prince Edward Island,84901,48,61659,2020-09-27
Scotiabank,Deposit Account,Newfoundland and Labrador,1261,41,32138,2023-10-15
RBC,Investment Product,Prince Edward Island,52166,42,37762,2024-06-04
Scotiabank,Credit Product,Nunavut,13697,31,116145,2022-12-04
RBC,Credit Product,Manitoba,27632,41,119875,2024-06-01
Scotiabank,Deposit Account,Quebec,1651,47,127445,2020-03-01
RBC,Credit Product,Ontario,16435,37,120757,2025-08-03
RBC,Credit Product,Manitoba,41196,57,60558,2020-10-06
TD,Deposit Account,Ontario,2351,47,109747,2021-08-15
TD,Investment Product,Quebec,58583,63,143724,2023-12-19
RBC,Investment Product,Alberta,33882,36,127039,2023-05-29
Scotiabank,Investment Product,Ontario,75084,53,141609,2023-04-09
TD,Credit Product,British Columbia,21959,34,87922,2023-10-15
RBC,Investment Product,Northwest Territories,69348,37,116136,2024-02-02
RBC,Investment Product,Nunavut,20111,50,124304,2022-03-09
TD,Investment Product,Ontario,55017,43,45598,2021-11-23
RBC,Deposit Account,Northwest Territories,767,46,43612,2024-07-23
TD,Credit Product,British Columbia,38896,30,73797,2024-09-08
RBC,Investment Product,Northwest Territories,54039,47,31182,2020-08-22
Scotiabank,Credit Product,Yukon,46321,48,77495,2021-11-10
RBC,Deposit Account,Northwest Territories,505,29,102287,2022-04-28
TD,Credit Product,British Columbia,31287,42,60644,2021-09-19
RBC,Deposit Account,British Columbia,1896,43,45687,2021-02-21
TD,Investment Product,Yukon,21524,43,30075,2020-04-10
Scotiabank,Credit Product,Newfoundland and Labrador,49390,40,71189,2022-05-12
RBC,Credit Product,Saskatchewan,14998,57,60964,2025-06-01
RBC,Investment Product,Quebec,72994,48,76168,2024-08-03
Scotiabank,Deposit Account,New Brunswick,1737,30,77073,2024-12-08
Scotiabank,Credit Product,Quebec,46558,33,91399,2021-05-22
TD,Deposit Account,Nunavut,1700,58,63679,2023-12-06
TD,Investment Product,Northwest Territories,75149,41,108237,2021-04-07
Scotiabank,Investment Product,Nunavut,38056,64,84604,2021-05-27
Scotiabank,Investment Product,Quebec,34223,25,56404,2023-12-12
RBC,Credit Product,Prince Edward Island,35515,40,114662,2020-07-17
RBC,Deposit Account,British Columbia,1344,61,108510,2025-07-02
RBC,Investment Product,Manitoba,93946,38,114105,2024-04-17
RBC,Deposit Account,Ontario,571,53,131525,2023-08-17
RBC,Deposit Account,Northwest Territories,658,58,74109,2021-01-17
RBC,Investment Product,Quebec,67032,63,125524,2021-06-11
TD,Deposit Account,British Columbia,2426,32,125164,2025-08-19
Scotiabank,Credit Product,Prince Edward Island,23507,26,70825,2021-03-12
TD,Investment Product,Ontario,39955,53,103276,2023-02-01
Scotiabank,Credit Product,Prince Edward Island,14696,30,47147,2021-08-08
Scotiabank,Investment Product,Quebec,94356,42,36846,2021-09-22
RBC,Credit Product,Yukon,28551,64,99148,2020-07-19
RBC,Credit Product,Prince Edward Island,18255,43,127384,2025-10-31
Scotiabank,Deposit Account,Nova Scotia,2348,38,148173,2021-06-18
TD,Credit Product,Manitoba,20873,57,35373,2020-07-24
RBC,Investment Product,Yukon,36813,45,74830,2022-07-28
RBC,Deposit Account,Ontario,2480,53,51262,2024-01-08
RBC,Deposit Account,Saskatchewan,1947,52,79070,2025-07-13
TD,Deposit Account,Northwest Territories,2402,48,133374,2021-07-02
TD,Credit Product,Northwest Territories,27110,54,51582,2023-04-28
Scotiabank,Credit Product,Nova Scotia,14091,55,123282,2021-03-23
TD,Investment Product,British Columbia,25632,63,113053,2024-10-29
Scotiabank,Investment Product,Northwest Territories,62250,46,139031,2025-02-22
TD,Investment Product,Alberta,41553,55,81695,2023-09-27
RBC,Credit Product,New Brunswick,41733,30,93264,2025-06-04
TD,Credit Product,Prince Edward Island,30190,53,117668,2025-12-17
TD,Deposit Account,Yukon,2431,33,148694,2025-08-09
Scotiabank,Deposit Account,Manitoba,1274,60,73745,2021-12-22
Scotiabank,Credit Product,Yukon,13592,40,42920,2024-03-09
TD,Deposit Account,Nunavut,786,55,57025,2022-03-11
TD,Credit Product,Quebec,26095,44,119101,2023-06-27
RBC,Investment Product,Saskatchewan,94746,31,70557,2020-12-18
RBC,Credit Product,Nova Scotia,15521,25,124293,2020-11-28
TD,Credit Product,British Columbia,13810,63,99406,2025-03-24
Scotiabank,Deposit Account,Yukon,558,40,50358,2025-08-12
RBC,Credit Product,Saskatchewan,21971,41,145132,2023-11-17
TD,Investment Product,Nunavut,84730,36,85358,2021-06-27
Scotiabank,Deposit Account,Manitoba,632,26,149586,2021-08-26
Scotiabank,Investment Product,Nova Scotia,58955,56,106353,2020-11-21
Scotiabank,Deposit Account,Nunavut,2363,56,130136,2025-08-30
RBC,Investment Product,Northwest Territories,62983,58,95246,2025-10-15
RBC,Deposit Account,Nova Scotia,716,43,97782,2022-04-07
TD,Deposit Account,Yukon,819,45,147452,2022-11-02
TD,Credit Product,New Brunswick,33934,56,77417,2023-04-29
Scotiabank,Investment Product,Yukon,86740,34,52299,2024-09-18
TD,Credit Product,Newfoundland and Labrador,23851,36,147405,2022-07-27
Scotiabank,Credit Product,Northwest Territories,27775,32,104433,2020-04-02
TD,Deposit Account,Nunavut,2103,32,131831,2023-06-26
TD,Credit Product,Prince Edward Island,33007,64,32468,2020-11-11
RBC,Investment Product,Yukon,88713,62,55394,2020-05-10
TD,Credit Product,Alberta,29663,32,49644,2023-11-17
Scotiabank,Deposit Account,Ontario,1352,61,75535,2021-08-31
RBC,Investment Product,Quebec,55127,30,33350,2025-11-24
RBC,Investment Product,British Columbia,43152,33,96972,2025-07-23
Scotiabank,Deposit Account,New Brunswick,1234,39,56602,2022-03-04
TD,Investment Product,Saskatchewan,41954,65,92763,2022-08-26
Scotiabank,Deposit Account,Northwest Territories,1128,51,46638,2022-08-22
Scotiabank,Investment Product,Ontario,28777,27,118215,2024-01-15
Scotiabank,Investment Product,Newfoundland and Labrador,26815,61,107790,2025-05-07
TD,Credit Product,Yukon,47928,46,30793,2025-04-07
Scotiabank,Deposit Account,Alberta,1193,63,93130,2021-11-18
TD,Deposit Account,New Brunswick,2072,33,121244,2020-03-07
TD,Investment Product,Ontario,95366,25,143154,2024-04-06
Scotiabank,Deposit Account,Yukon,1401,46,41889,2023-05-27
TD,Investment Product,Newfoundland and Labrador,60794,40,148064,2024-09-08
TD,Credit Product,Manitoba,18988,54,141228,2024-10-14
TD,Credit Product,Newfoundland and Labrador,47784,32,52587,2021-07-06
Scotiabank,Credit Product,Saskatchewan,18355,54,94527,2025-02-25
TD,Credit Product,Ontario,34920,40,67093,2024-03-15
